开始时间,持续时间,事件大类,事件类别,内容类型,事件内容,备注,Tag,状态
2017-02-17 10:00,30,未分类,杂事,未分类,,,,已完成
2017-02-17 10:30,60,未分类,学习,未分类,,,,已完成
2017-02-17 11:30,60,未分类,杂事,未分类,,,,已完成
2017-02-17 12:30,60,未分类,运动,未分类,,,,已完成
2017-02-17 13:30,30,未分类,工作,未分类,,,,已完成
2017-02-17 14:00,60,未分类,学习,未分类,,,,已完成
2017-02-17 15:00,90,未分类,工作,未分类,,,,已完成
2017-02-17 16:30,60,未分类,学习,未分类,,,,已完成
2017-02-17 17:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-17 18:00,90,未分类,学习,未分类,,,,已完成
2017-02-17 19:30,15,未分类,娱乐,未分类,,比利林恩的中场战事,,已完成
2017-02-17 19:45,15,未分类,娱乐,未分类,,,,已完成
2017-02-17 20:00,15,未分类,娱乐,未分类,,比利林恩的中场战事,,已完成
2017-02-17 20:15,15,未分类,娱乐,未分类,,,,已完成
2017-02-17 20:30,15,未分类,娱乐,未分类,,比利林恩的中场战事,,已完成
2017-02-17 20:45,15,未分类,娱乐,未分类,,,,已完成
2017-02-17 21:00,15,未分类,娱乐,未分类,,比利林恩的中场战事,,已完成
2017-02-17 21:15,15,未分类,娱乐,未分类,,,,已完成
2017-02-17 21:30,15,未分类,娱乐,未分类,,比利林恩的中场战事,,已完成
2017-02-17 21:45,15,未分类,娱乐,未分类,,,,已完成
2017-02-17 22:00,15,未分类,娱乐,未分类,,最强大脑,,已完成
2017-02-17 22:15,15,未分类,娱乐,未分类,,,,已完成
2017-02-17 22:30,15,未分类,娱乐,未分类,,最强大脑,,已完成
2017-02-17 22:45,15,未分类,娱乐,未分类,,,,已完成
2017-02-17 23:00,30,未分类,杂事,未分类,,,,已完成
2017-02-17 23:30,30,未分类,杂事,未分类,洗澡,,,已完成
2017-02-18 00:00,390,未分类,睡觉,未分类,,,,已完成
2017-02-18 06:30,30,未分类,杂事,未分类,,,,已完成
2017-02-18 07:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-18 07:30,150,未分类,学习,未分类,,,,已完成
2017-02-18 10:00,300,未分类,工作,未分类,,,,已完成
2017-02-18 15:00,60,未分类,杂事,未分类,,,,已完成
2017-02-18 16:00,60,未分类,浪费了,未分类,,,,已完成
2017-02-18 17:00,60,未分类,杂事,未分类,,,,已完成
2017-02-18 18:00,60,未分类,娱乐,未分类,,,,已完成
2017-02-18 19:00,60,未分类,杂事,未分类,,,,已完成
2017-02-18 20:00,120,未分类,工作,未分类,,,,已完成
2017-02-18 22:00,90,未分类,杂事,未分类,,,,已完成
2017-02-18 23:30,30,未分类,娱乐,未分类,,,,已完成
2017-02-19 00:00,420,未分类,睡觉,未分类,,,,已完成
2017-02-19 07:00,60,未分类,杂事,未分类,,,,已完成
2017-02-19 08:00,240,未分类,工作,未分类,,,,已完成
2017-02-19 12:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-19 12:30,270,未分类,工作,未分类,,,,已完成
2017-02-19 17:00,180,未分类,杂事,未分类,吃饭,,,已完成
2017-02-19 20:00,30,未分类,杂事,未分类,等车,,,已完成
2017-02-19 20:30,60,未分类,阅读,未分类,,,,已完成
2017-02-19 21:30,60,未分类,杂事,未分类,等车,,,已完成
2017-02-19 22:30,480,未分类,睡觉,未分类,,,,已完成
2017-02-20 06:30,60,未分类,杂事,未分类,,,,已完成
2017-02-20 07:30,120,未分类,工作,未分类,,,,已完成
2017-02-20 09:30,90,未分类,杂事,未分类,,,,已完成
2017-02-20 11:00,30,未分类,浪费了,未分类,,,,已完成
2017-02-20 11:30,120,未分类,运动,未分类,,,,已完成
2017-02-20 13:30,30,未分类,杂事,未分类,,,,已完成
2017-02-20 14:00,30,未分类,学习,未分类,,,,已完成
2017-02-20 14:30,60,未分类,睡觉,未分类,,,,已完成
2017-02-20 15:30,30,未分类,学习,未分类,,,,已完成
2017-02-20 16:00,210,未分类,工作,未分类,,,,已完成
2017-02-20 19:30,15,未分类,娱乐,未分类,,拍照,,已完成
2017-02-20 19:45,15,未分类,娱乐,未分类,,,,已完成
2017-02-20 20:00,15,未分类,娱乐,未分类,,拍照,,已完成
2017-02-20 20:15,15,未分类,娱乐,未分类,,,,已完成
2017-02-20 20:30,15,未分类,娱乐,未分类,,拍照,,已完成
2017-02-20 20:45,105,未分类,娱乐,未分类,,,,已完成
2017-02-20 22:30,90,未分类,杂事,未分类,,,,已完成
2017-02-21 00:00,30,未分类,浪费了,未分类,,,,已完成
2017-02-21 00:30,360,未分类,睡觉,未分类,,,,已完成
2017-02-21 06:30,60,未分类,杂事,未分类,吃饭,,,已完成
2017-02-21 07:30,60,未分类,娱乐,未分类,,,,已完成
2017-02-21 08:30,30,未分类,睡觉,未分类,,,,已完成
2017-02-21 09:00,30,未分类,工作,未分类,,,,已完成
2017-02-21 09:30,60,未分类,浪费了,未分类,,,,已完成
2017-02-21 10:30,90,未分类,工作,未分类,,,,已完成
2017-02-21 12:00,30,未分类,浪费了,未分类,,,,已完成
2017-02-21 12:30,60,未分类,睡觉,未分类,,,,已完成
2017-02-21 13:30,60,未分类,浪费了,未分类,,,,已完成
2017-02-21 14:30,210,未分类,工作,未分类,,,,已完成
2017-02-21 18:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-21 18:30,90,未分类,工作,未分类,,,,已完成
2017-02-21 20:00,60,未分类,杂事,未分类,,,,已完成
2017-02-21 21:00,30,未分类,娱乐,未分类,,,,已完成
2017-02-21 21:30,30,未分类,工作,未分类,,,,已完成
2017-02-21 22:00,30,未分类,娱乐,未分类,,,,已完成
2017-02-21 22:30,30,未分类,工作,未分类,,,,已完成
2017-02-21 23:00,60,未分类,杂事,未分类,,,,已完成
2017-02-22 00:00,30,未分类,娱乐,未分类,,,,已完成
2017-02-22 00:30,390,未分类,睡觉,未分类,,,,已完成
2017-02-22 07:00,30,未分类,杂事,未分类,,,,已完成
2017-02-22 07:30,30,未分类,浪费了,未分类,,,,已完成
2017-02-22 08:00,210,未分类,工作,未分类,,,,已完成
2017-02-22 11:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-22 12:00,60,未分类,运动,未分类,,,,已完成
2017-02-22 13:00,120,未分类,工作,未分类,,,,已完成
2017-02-22 15:00,30,未分类,杂事,未分类,,,,已完成
2017-02-22 15:30,15,未分类,工作,未分类,,广汽分享会,,已完成
2017-02-22 15:45,15,未分类,工作,未分类,,,,已完成
2017-02-22 16:00,120,未分类,学习,未分类,,,,已完成
2017-02-22 18:00,120,未分类,工作,未分类,,,,已完成
2017-02-22 20:00,150,未分类,娱乐,未分类,,,,已完成
2017-02-22 22:30,30,未分类,工作,未分类,,,,已完成
2017-02-22 23:00,60,未分类,杂事,未分类,,,,已完成
2017-02-23 00:00,420,未分类,睡觉,未分类,,,,已完成
2017-02-23 07:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-23 07:30,90,未分类,娱乐,未分类,看电影,,,已完成
2017-02-23 09:00,150,未分类,工作,未分类,,,,已完成
2017-02-23 11:30,60,未分类,杂事,未分类,吃饭,,,已完成
2017-02-23 12:30,30,未分类,娱乐,未分类,看电影,,,已完成
2017-02-23 13:00,30,未分类,工作,未分类,,,,已完成
2017-02-23 13:30,240,未分类,学习,未分类,,,,已完成
2017-02-23 17:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-23 18:00,60,未分类,学习,未分类,,,,已完成
2017-02-23 19:00,30,未分类,娱乐,未分类,,,,已完成
2017-02-23 19:30,210,未分类,工作,未分类,,,,已完成
2017-02-23 23:00,90,未分类,浪费了,未分类,,,,已完成
2017-02-24 00:30,390,未分类,睡觉,未分类,,,,已完成
2017-02-24 07:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-24 07:30,15,未分类,娱乐,未分类,,暴漫,,已完成
2017-02-24 07:45,75,未分类,娱乐,未分类,,,,已完成
2017-02-24 09:00,150,未分类,工作,未分类,,,,已完成
2017-02-24 11:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-24 12:00,90,未分类,运动,未分类,,,,已完成
2017-02-24 13:30,15,未分类,工作,未分类,,广汽聚类,,已完成
2017-02-24 13:45,15,未分类,工作,未分类,,,,已完成
2017-02-24 14:00,15,未分类,工作,未分类,,广汽聚类,,已完成
2017-02-24 14:15,15,未分类,工作,未分类,,,,已完成
2017-02-24 14:30,15,未分类,工作,未分类,,广汽聚类,,已完成
2017-02-24 14:45,15,未分类,工作,未分类,,,,已完成
2017-02-24 15:00,15,未分类,工作,未分类,,广汽聚类,,已完成
2017-02-24 15:15,15,未分类,工作,未分类,,,,已完成
2017-02-24 15:30,15,未分类,工作,未分类,,广汽聚类,,已完成
2017-02-24 15:45,405,未分类,工作,未分类,,,,已完成
2017-02-24 22:30,30,未分类,杂事,未分类,,,,已完成
2017-02-24 23:00,60,未分类,阅读,未分类,,,,已完成
2017-02-25 00:00,30,未分类,浪费了,未分类,,,,已完成
2017-02-25 00:30,390,未分类,睡觉,未分类,,,,已完成
2017-02-25 07:00,60,未分类,杂事,未分类,吃饭,,,已完成
2017-02-25 08:00,30,未分类,娱乐,未分类,,,,已完成
2017-02-25 08:30,90,未分类,学习,未分类,,,,已完成
2017-02-25 10:00,30,未分类,娱乐,未分类,玩游戏,,,已完成
2017-02-25 10:30,60,未分类,学习,未分类,,,,已完成
2017-02-25 11:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-25 12:00,30,未分类,学习,未分类,,,,已完成
2017-02-25 12:30,30,未分类,睡觉,未分类,午睡,,,已完成
2017-02-25 13:00,360,未分类,工作,未分类,,,,已完成
2017-02-25 19:00,30,未分类,学习,未分类,,,,已完成
2017-02-25 19:30,30,未分类,工作,未分类,,,,已完成
2017-02-25 20:00,180,未分类,学习,未分类,,,,已完成
2017-02-25 23:00,60,未分类,杂事,未分类,,,,已完成
2017-02-26 00:00,30,未分类,浪费了,未分类,,,,已完成
2017-02-26 00:30,390,未分类,睡觉,未分类,,,,已完成
2017-02-26 07:00,60,未分类,杂事,未分类,吃饭,,,已完成
2017-02-26 08:00,30,未分类,娱乐,未分类,看电影,,,已完成
2017-02-26 08:30,60,未分类,学习,未分类,,,,已完成
2017-02-26 09:30,30,未分类,杂事,未分类,,,,已完成
2017-02-26 10:00,90,未分类,学习,未分类,,,,已完成
2017-02-26 11:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-26 12:00,90,未分类,运动,未分类,,,,已完成
2017-02-26 13:30,60,未分类,学习,未分类,,,,已完成
2017-02-26 14:30,30,未分类,娱乐,未分类,,,,已完成
2017-02-26 15:00,120,未分类,阅读,未分类,,,,已完成
2017-02-26 17:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-26 17:30,120,未分类,阅读,未分类,,,,已完成
2017-02-26 19:30,90,未分类,睡觉,未分类,,,,已完成
2017-02-26 21:00,90,未分类,阅读,未分类,,,,已完成
2017-02-26 22:30,30,未分类,杂事,未分类,,,,已完成
2017-02-26 23:00,30,未分类,浪费了,未分类,,,,已完成
2017-02-26 23:30,30,未分类,阅读,未分类,,,,已完成
2017-02-27 00:00,60,未分类,浪费了,未分类,,,,已完成
2017-02-27 01:00,360,未分类,睡觉,未分类,,,,已完成
2017-02-27 07:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-27 07:30,30,未分类,阅读,未分类,,,,已完成
2017-02-27 08:00,30,未分类,娱乐,未分类,看电影,,,已完成
2017-02-27 08:30,60,未分类,阅读,未分类,,,,已完成
2017-02-27 09:30,30,未分类,工作,未分类,总结,,,已完成
2017-02-27 10:00,30,未分类,杂事,未分类,,,,已完成
2017-02-27 10:30,30,未分类,工作,未分类,总结,,,已完成
2017-02-27 11:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-27 11:30,60,未分类,运动,未分类,,,,已完成
2017-02-27 12:30,30,未分类,工作,未分类,总结,,,已完成
2017-02-27 13:00,15,未分类,杂事,未分类,,准备听讲座,,已完成
2017-02-27 13:15,15,未分类,杂事,未分类,,,,已完成
2017-02-27 13:30,210,未分类,学习,未分类,,,,已完成
2017-02-27 17:00,90,未分类,杂事,未分类,,,,已完成
2017-02-27 18:30,240,未分类,阅读,未分类,,,,已完成
2017-02-27 22:30,60,未分类,杂事,未分类,,,,已完成
2017-02-27 23:30,450,未分类,睡觉,未分类,,,,已完成
2017-02-28 07:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-28 07:30,90,未分类,浪费了,未分类,,,,已完成
2017-02-28 09:00,30,未分类,工作,未分类,,,,已完成
2017-02-28 09:30,120,未分类,阅读,未分类,,,,已完成
2017-02-28 11:30,30,未分类,杂事,未分类,,,,已完成
2017-02-28 12:00,30,未分类,阅读,未分类,,,,已完成
2017-02-28 12:30,90,未分类,睡觉,未分类,,,,已完成
2017-02-28 14:00,60,未分类,工作,未分类,开会,,,已完成
2017-02-28 15:00,15,未分类,杂事,未分类,,buybuybuy,,已完成
2017-02-28 15:15,15,未分类,杂事,未分类,,,,已完成
2017-02-28 15:30,15,未分类,杂事,未分类,,buybuybuy,,已完成
2017-02-28 15:45,15,未分类,杂事,未分类,,,,已完成
2017-02-28 16:00,15,未分类,杂事,未分类,,buybuybuy,,已完成
2017-02-28 16:15,15,未分类,杂事,未分类,,,,已完成
2017-02-28 16:30,60,未分类,学习,未分类,,,,已完成
2017-02-28 17:30,30,未分类,阅读,未分类,,,,已完成
2017-02-28 18:00,30,未分类,浪费了,未分类,,,,已完成
2017-02-28 18:30,60,未分类,阅读,未分类,,,,已完成
2017-02-28 19:30,210,未分类,学习,未分类,,,,已完成
2017-02-28 23:00,30,未分类,杂事,未分类,洗澡,,,已完成
2017-02-28 23:30,30,未分类,浪费了,未分类,,,,已完成
2017-03-01 00:00,420,未分类,睡觉,未分类,,,,已完成
2017-03-01 07:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-03-01 07:30,60,未分类,阅读,未分类,,,,已完成
2017-03-01 08:30,60,未分类,杂事,未分类,吃饭,,,已完成
2017-03-01 09:30,90,未分类,阅读,未分类,,,,已完成
2017-03-01 11:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-03-01 11:30,90,未分类,运动,未分类,,,,已完成
2017-03-01 13:00,30,未分类,阅读,未分类,,,,已完成
2017-03-01 13:30,120,未分类,学习,未分类,,,,已完成
2017-03-01 15:30,30,未分类,阅读,未分类,,,,已完成
2017-03-01 16:00,30,未分类,杂事,未分类,,,,已完成
2017-03-01 16:30,30,未分类,阅读,未分类,,,,已完成
2017-03-01 17:00,30,未分类,工作,未分类,,,,已完成
2017-03-01 17:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-03-01 18:00,30,未分类,浪费了,未分类,,,,已完成
2017-03-01 18:30,60,未分类,阅读,未分类,,,,已完成
2017-03-01 19:30,120,未分类,睡觉,未分类,,,,已完成
2017-03-01 21:30,60,未分类,学习,未分类,,,,已完成
2017-03-01 22:30,30,未分类,杂事,未分类,,,,已完成
2017-03-01 23:00,150,未分类,浪费了,未分类,,,,已完成
2017-03-02 01:30,330,未分类,睡觉,未分类,,,,已完成
2017-03-02 07:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-03-02 07:30,60,未分类,阅读,未分类,,,,已完成
2017-03-02 08:30,30,未分类,工作,未分类,,,,已完成
2017-03-02 09:00,30,未分类,学习,未分类,,,,已完成
2017-03-02 09:30,30,未分类,阅读,未分类,,,,已完成
2017-03-02 10:00,120,未分类,工作,未分类,,,,已完成
2017-03-02 12:00,60,未分类,杂事,未分类,吃饭,,,已完成
2017-03-02 13:00,15,未分类,工作,未分类,,Workshop,,已完成
2017-03-02 13:15,15,未分类,工作,未分类,,,,已完成
2017-03-02 13:30,15,未分类,工作,未分类,,Workshop,,已完成
2017-03-02 13:45,15,未分类,工作,未分类,,,,已完成
2017-03-02 14:00,15,未分类,工作,未分类,,Workshop,,已完成
2017-03-02 14:15,15,未分类,工作,未分类,,,,已完成
2017-03-02 14:30,15,未分类,工作,未分类,,Workshop,,已完成
2017-03-02 14:45,15,未分类,工作,未分类,,,,已完成
2017-03-02 15:00,15,未分类,工作,未分类,,Workshop,,已完成
